metric,baseline,mean_advantage_CWR,wins_subjects,losses_subjects,sign_p_one_sided,wilcoxon_p_one_sided
accuracy,CWR_frozen,0.0026143790849673222,1,0,0.5,0.5
accuracy,ALS,0.016865337051299462,5,5,0.623046875,0.3125
accuracy,plain_GCCA,0.08256396438561756,8,1,0.01953125,0.013671875
accuracy,concat_PCA,0.01708679795784194,5,5,0.623046875,0.2158203125
accuracy,late_fusion,-0.16810449076028383,0,10,1.0,1.0
macro_f1,CWR_frozen,0.0024190175853421535,1,0,0.5,0.5
macro_f1,ALS,0.05947896740140638,5,5,0.623046875,0.1162109375
macro_f1,plain_GCCA,0.10723757162818912,9,1,0.0107421875,0.001953125
macro_f1,concat_PCA,0.05827896195079409,5,5,0.623046875,0.1611328125
macro_f1,late_fusion,-0.17990678163294396,0,10,1.0,1.0
