condition,method,accuracy,macro_f1
all_three,ALS,0.7799620379775458,0.7325869881927723
all_three,CWR,0.7740959401575903,0.7597849546839799
all_three,concat_PCA,0.7965502076380158,0.7514421463906058
all_three,late_fusion,0.9351933999237734,0.9275691441664005
all_three,plain_GCCA,0.7876142154616065,0.7726090601504045
drop_chest,ALS,0.6837207593387198,0.6282393080917814
drop_chest,CWR,0.7207429214895311,0.7006395604476008
drop_chest,concat_PCA,0.7106443156392057,0.6521051816351336
drop_chest,late_fusion,0.8943672406571308,0.8825529656851918
drop_chest,plain_GCCA,0.7210488482308194,0.6976994683174849
drop_left_ankle,ALS,0.46666131673987066,0.3804172079604555
drop_left_ankle,CWR,0.7157884061102465,0.6878442426718558
drop_left_ankle,concat_PCA,0.43795250537916947,0.35172944795318506
drop_left_ankle,late_fusion,0.8664524923630804,0.8463386653045284
drop_left_ankle,plain_GCCA,0.7414898784323765,0.7142129450105421
drop_right_arm,ALS,0.44124710059792094,0.37180469320110715
drop_right_arm,CWR,0.7604226238479603,0.7441398389803976
drop_right_arm,concat_PCA,0.47911002401536884,0.41706363071874064
drop_right_arm,late_fusion,0.875221256033119,0.8694787967670514
drop_right_arm,plain_GCCA,0.7843606543917323,0.7732950710426347
