scenario,method,accuracy,macro_f1
arm_axis_loss,CWR,0.6745970960563297,0.6561487403192089
arm_axis_loss,CWR_frozen,0.6455612094068732,0.6150551324430555
arm_axis_loss,plain_GCCA,0.4801329432177715,0.419638376837823
arm_rotation,CWR,0.7249621416768517,0.7115458304448168
arm_rotation,CWR_frozen,0.5274129527751413,0.47667311407996593
arm_rotation,plain_GCCA,0.3755340530323199,0.2857493751868395
arm_rotation_axis_loss,CWR,0.7317465278679643,0.7160795781667605
arm_rotation_axis_loss,CWR_frozen,0.4535119595576361,0.40630586299905314
arm_rotation_axis_loss,plain_GCCA,0.36657414215434214,0.2894026546213783
stable,CWR,0.759603924192515,0.7413167699060736
stable,CWR_frozen,0.759603924192515,0.7413167699060736
stable,plain_GCCA,0.654875392448101,0.602043273753819
