subject,repeat,scenario,wrist_realign,n_realign,suspects,resid_wrist,resid_chest,resid_ankle
101,0,stable,0,0,,0.5390413940141605,0.48014094605149743,0.38649228042624867
101,0,rotation,1,1,0,2.251181592718432,0.9415551486576756,0.7811481771722062
101,0,axis_loss,0,0,,0.7315811542324768,0.4907730263641892,0.472130080222715
101,0,rotation_axis_loss,1,1,0,2.279144735512167,0.9175055006142772,0.8191793966124722
101,1,stable,0,0,,0.5071286552869003,0.466977942293154,0.3687809884467056
101,1,rotation,1,1,0,4.041004021880474,1.3959937891575231,1.2067028248791238
101,1,axis_loss,0,0,,0.8638180596189896,0.46449617921782316,0.5496074536880811
101,1,rotation_axis_loss,1,1,0,1.2069598254275984,0.5155261047285077,0.6701484110817009
101,2,stable,0,0,,0.4592799817961627,0.4259586055212876,0.3390200544754121
101,2,rotation,1,1,0,2.325977978054761,0.930053899006364,0.7682737591196352
101,2,axis_loss,0,0,,0.7000253360166695,0.4622744772044772,0.423076859902476
101,2,rotation_axis_loss,1,1,0,2.3191794226717186,0.9105121783760025,0.7844162020584755
102,0,stable,0,0,,0.26997731007712406,0.29650267697351335,0.267550109530285
102,0,rotation,1,1,0,3.2931006916153036,1.2355631537253748,0.8400513235475132
102,0,axis_loss,0,0,,0.4923291014670157,0.218719282741088,0.4565093994576562
102,0,rotation_axis_loss,1,1,0,2.149196151492128,0.8369427228472676,0.6667194843640332
102,1,stable,0,0,,0.2770822278927186,0.25266062625243746,0.22254311026980428
102,1,rotation,1,1,0,1.0225293528276809,0.4168019004183542,0.4311253985713688
102,1,axis_loss,0,0,,0.4090974104444009,0.2163863251164551,0.32482500268162784
102,1,rotation_axis_loss,1,1,0,0.8468581915383813,0.3445183630185425,0.4155733553265306
102,2,stable,0,0,,0.2041563616466745,0.22197494869833387,0.19630824978797723
102,2,rotation,1,1,0,2.7893999224124704,0.9711003195138562,0.7398046593553529
102,2,axis_loss,0,0,,0.33204219744617247,0.17193504031301846,0.3102910760730416
102,2,rotation_axis_loss,1,1,0,2.212182061869137,0.7737137162926881,0.648582332304854
103,0,stable,0,0,,0.20582988472706176,0.12974218112322633,0.22918603247399166
103,0,rotation,1,1,0,1.519811382498069,0.44061367871383583,0.5753052837688859
103,0,axis_loss,1,1,0,0.5457252515668848,0.2565762943319496,0.27229960268517994
103,0,rotation_axis_loss,1,1,0,0.6936785356087766,0.26733921305972436,0.33551332597835104
103,1,stable,0,0,,0.22640962019516628,0.15700347514855986,0.2600948362121268
103,1,rotation,1,1,0,1.0831816487915558,0.3960643993080075,0.44941992635087397
103,1,axis_loss,0,0,,0.354699202447032,0.20506091170047808,0.2761821907861415
103,1,rotation_axis_loss,1,1,0,1.052368723993757,0.4103802311217614,0.4196976321382206
103,2,stable,0,0,,0.2368061964300665,0.13050497247989373,0.2796210234475568
103,2,rotation,1,1,0,2.325952959939411,0.5988901446347522,0.8558092330473707
103,2,axis_loss,1,1,0,0.6670441168300546,0.274827603190959,0.3504173529364856
103,2,rotation_axis_loss,1,1,0,1.1693852944861165,0.4449237015851243,0.43149184337035135
104,0,stable,0,0,,0.22272650816394565,0.1593635067510678,0.22255545800056467
104,0,rotation,1,1,0,1.6376056732073923,0.5478824807284398,0.5414760665449159
104,0,axis_loss,0,0,,0.36461013999013137,0.2100812802180961,0.24277950044662924
104,0,rotation_axis_loss,1,1,0,1.204778916111453,0.4406866283959627,0.43225854032942346
104,1,stable,0,0,,0.21144350652110755,0.142218090269271,0.19604569482687345
104,1,rotation,1,1,0,1.8993931603555663,0.6089430414563457,0.5732955705570281
104,1,axis_loss,1,1,0,0.6407842054332248,0.2550218384693181,0.297912296082885
104,1,rotation_axis_loss,1,1,0,1.4291353724808504,0.47477575683545836,0.47233396124055754
104,2,stable,0,0,,0.22951007535232726,0.1450201877774847,0.19217684272683233
104,2,rotation,1,1,0,2.552488777335902,0.7250986189036646,0.7735877625924401
104,2,axis_loss,1,1,0,0.6079446039133343,0.2472466599991042,0.2791676347857164
104,2,rotation_axis_loss,1,1,0,0.9852293229253078,0.357684616033917,0.3573720382568904
105,0,stable,0,0,,0.3926837167340217,0.17735075039775158,0.2504671267556461
