scenario,method,accuracy_drop,macro_f1_drop
axis_loss,ALS,0.07154103535024621,0.07515739326936828
axis_loss,CWR,0.0002914676008976084,0.010550604549893407
axis_loss,CWR_frozen,0.014701402140610281,0.022748826535651762
axis_loss,concat_PCA,0.06534375229995656,0.06971739681814086
axis_loss,late_fusion,0.06391398020661596,0.06285260309505032
axis_loss,plain_GCCA,0.04837788058557483,0.06967622980742867
rotation,ALS,0.2033017180488739,0.2048627525170161
rotation,CWR,-0.0013956732198154576,0.0049951059328016524
rotation,CWR_frozen,0.14200083280256415,0.162833550955746
rotation,concat_PCA,0.205035763511252,0.2097569973732595
rotation,late_fusion,0.1434749895510659,0.15251610461957243
rotation,plain_GCCA,0.15346246114571102,0.17072040145076775
rotation_axis_loss,ALS,0.20886726376492867,0.19245291278278656
rotation_axis_loss,CWR,-0.0001722351593562016,0.008423739070405794
rotation_axis_loss,CWR_frozen,0.1141106989868735,0.12184718437582963
rotation_axis_loss,concat_PCA,0.20907695316923935,0.19874921490330313
rotation_axis_loss,late_fusion,0.14429184200480674,0.1443582210454435
rotation_axis_loss,plain_GCCA,0.1499658338741949,0.17349223999588528
