subject,repeat,scenario,method,accuracy,macro_f1
101,0,stable,CWR,0.4849384811200679,0.4486187154419638
101,0,stable,CWR_frozen,0.4849384811200679,0.4486187154419638
101,0,stable,plain_GCCA,0.4212982605006364,0.36076336614355503
101,0,stable,concat_PCA,0.5176071277047094,0.48961071038094534
101,0,stable,ALS,0.5176071277047094,0.4946913069752945
101,0,stable,late_fusion,0.697496817988969,0.6551812717440407
101,0,rotation,CWR,0.49469664828171406,0.46480918768709106
101,0,rotation,CWR_frozen,0.4140857021637675,0.3327172663592031
101,0,rotation,plain_GCCA,0.39584217225286383,0.3317606967036331
101,0,rotation,concat_PCA,0.4666949512091642,0.36860714064295186
101,0,rotation,ALS,0.4900296987696224,0.40765976379901775
101,0,rotation,late_fusion,0.6109461179465422,0.5413061034733614
101,0,axis_loss,CWR,0.5091217649554518,0.46432458821846606
101,0,axis_loss,CWR_frozen,0.5091217649554518,0.46432458821846606
101,0,axis_loss,plain_GCCA,0.41790411540093336,0.35622105336397464
101,0,axis_loss,concat_PCA,0.5553669919389054,0.490088378850263
101,0,axis_loss,ALS,0.5833686890114552,0.5234242551910699
101,0,axis_loss,late_fusion,0.6550700042426814,0.6064837228717287
101,0,rotation_axis_loss,CWR,0.48069579974543913,0.4474217756587777
101,0,rotation_axis_loss,CWR_frozen,0.3971149766652524,0.3271871898150563
101,0,rotation_axis_loss,plain_GCCA,0.36444633008061095,0.29761170670791576
101,0,rotation_axis_loss,concat_PCA,0.44760288502333473,0.4217248206747403
101,0,rotation_axis_loss,ALS,0.4607551972846839,0.4355763985758945
101,0,rotation_axis_loss,late_fusion,0.6300381841323717,0.5750537590772647
101,1,stable,CWR,0.4870598218073823,0.4500886420725602
101,1,stable,CWR_frozen,0.4870598218073823,0.4500886420725602
101,1,stable,plain_GCCA,0.4229953330504879,0.3600842627489944
101,1,stable,concat_PCA,0.4454815443360204,0.35782251833947676
101,1,stable,ALS,0.4302078913873568,0.34180649332270346
101,1,stable,late_fusion,0.6996181586762834,0.6577854450218715
101,1,rotation,CWR,0.49809079338141704,0.46194540732737827
101,1,rotation,CWR_frozen,0.32117098005939754,0.27882365531898934
101,1,rotation,plain_GCCA,0.29232074671192193,0.24088210430041504
101,1,rotation,concat_PCA,0.4573610521849809,0.3858587869551015
101,1,rotation,ALS,0.48027153160797625,0.41805533174648096
101,1,rotation,late_fusion,0.6062791684344506,0.531774484522921
101,1,axis_loss,CWR,0.5006364022061943,0.47851145257143807
101,1,axis_loss,CWR_frozen,0.5006364022061943,0.47851145257143807
101,1,axis_loss,plain_GCCA,0.42002545608824776,0.34878115749647787
101,1,axis_loss,concat_PCA,0.43190496393720834,0.36966613090494294
101,1,axis_loss,ALS,0.4382689859991515,0.3775802156838044
