scenario,baseline,mean_drop_advantage_CWR,wins_subjects,losses_subjects,sign_p_one_sided,wilcoxon_p_one_sided
rotation,CWR_frozen,0.14339650602237963,8,0,0.00390625,0.00390625
rotation,plain_GCCA,0.15485813436552648,8,0,0.00390625,0.00390625
rotation,ALS,0.20469739126868938,8,0,0.00390625,0.00390625
rotation,concat_PCA,0.20643143673106745,8,0,0.00390625,0.00390625
rotation,late_fusion,0.14487066277088137,8,0,0.00390625,0.00390625
axis_loss,CWR_frozen,0.014409934539712675,2,3,0.8125,0.40625
axis_loss,plain_GCCA,0.048086412984677224,8,0,0.00390625,0.00390625
axis_loss,ALS,0.07124956774934862,7,1,0.03515625,0.01953125
axis_loss,concat_PCA,0.06505228469905897,7,1,0.03515625,0.01953125
axis_loss,late_fusion,0.06362251260571834,7,1,0.03515625,0.01171875
rotation_axis_loss,CWR_frozen,0.11428293414622973,7,1,0.03515625,0.0078125
rotation_axis_loss,plain_GCCA,0.1501380690335511,8,0,0.00390625,0.00390625
rotation_axis_loss,ALS,0.20903949892428486,8,0,0.00390625,0.00390625
rotation_axis_loss,concat_PCA,0.20924918832859554,8,0,0.00390625,0.00390625
rotation_axis_loss,late_fusion,0.14446407716416296,8,0,0.00390625,0.00390625
