scenario,method,accuracy,macro_f1
axis_loss,ALS,0.5669744726063566,0.4731737432405798
axis_loss,CWR,0.5551642067998418,0.5072764732647358
axis_loss,CWR_frozen,0.5382680993651253,0.4933788780061197
axis_loss,concat_PCA,0.5566741366738693,0.4640888593290193
axis_loss,late_fusion,0.7426427163681968,0.6527816187569216
axis_loss,plain_GCCA,0.4624616990955168,0.38530577312150666
rotation,ALS,0.4352137899077289,0.34346838399293195
rotation,CWR,0.5568513476205549,0.5128319718818275
rotation,CWR_frozen,0.41096866870317145,0.3532941535860254
rotation,concat_PCA,0.4169821254625739,0.32404925877390056
rotation,late_fusion,0.6630817070237468,0.5631181172323995
rotation,plain_GCCA,0.3573771185353806,0.28426160147816765
rotation_axis_loss,ALS,0.4296482441916742,0.35587822372716155
rotation_axis_loss,CWR,0.5556279095600956,0.5094033387442234
rotation_axis_loss,CWR_frozen,0.43885880251886206,0.39428052016594184
rotation_axis_loss,concat_PCA,0.4129409358045866,0.33505704124385693
rotation_axis_loss,late_fusion,0.662264854570006,0.5712760008065284
rotation_axis_loss,plain_GCCA,0.36087374580689674,0.2814897629330501
stable,ALS,0.6385155079566028,0.548331136509948
stable,CWR,0.5554556744007394,0.5178270778146291
stable,CWR_frozen,0.5529695015057355,0.5161277045417715
stable,concat_PCA,0.6220178889738259,0.53380625614716
stable,late_fusion,0.8065566965748127,0.715634221851972
stable,plain_GCCA,0.5108395796810916,0.45498200292893537
